show_id,title,tags,word_count
s12,Bangkok Breaking,"kongkiatkomesiri sukollawatkanarot,susharmanaying,pavaritmongkolpisit,sahajakboonthanakit,suthipongsethatphithakkul,bhasawornbawronkirati,daweeritchullasapya,waratthayawongchayaporn,kittiphoomwongpentak,abhichathanachanun,nophandboonyai,kittipongkhamsat,arisarawongchalee,jaytiyanaiwattanakul,pantipaarunwattanachai,panupanjantanawong,kungtapsaelim,phumphatchartsuriyakiat,issaraveranitinunt,keeratisivakuae,panjaisirisuwan,supraneecharoenpol,sudachuenban,visakabanhansupavat,pitchatornsantinatornkul struggl to earn a live in bangkok, a man join an emerg rescu servic and realiz he must unravel a citywid conspiracy. crimetvshows,internationaltvshows,tvaction&adventur",25
s13,Je Suis Karl,"christianschwochow lunawedler,jannisniewöhner,milanpeschel,edinhasanović,annafialová,marlonboess,victorboccard,fleurgeffrier,azizdyab,mélaniefouché,elizavetamaximová after most of her famili is murder in a terrorist bombing, a young woman is unknowingli lure into join the veri group that kill them. dramas,internationalmovi",28
s14,Confessions of an Invisible Girl,"brunogarotti klaracastanho,luccapicon,júliagomes,marcusbessa,kiriamalheiros,fernandaconcon,gabriellima,caiocabral,leonardocidade,jadecardozo when the clever but socially-awkward tetê join a new school, she'll do anyth to fit in. but the queen bee among her classmat ha other ideas. children&familymovies,comedi",29
s15,Crime Stories: India Detectives,"camera follow bengaluru polic on the job offer a rare glimps into the complex and challeng inner work of four major crime investigations. britishtvshows,crimetvshows,docuseri",24
s16,Dear White People,"loganbrowning,brandonp.bell,deronhorton,antoinetterobertson,johnpatrickamedori,ashleyblainefeatherson,marquerichardson,giancarloesposito student of color navig the daili slight and slipperi polit of life at an ivi leagu colleg that' not nearli as ""post-racial"" as it thinks. tvcomedies,tvdrama",27
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"pedrodeechavegarcía,pabloazorínwilliam declassifi document reveal the post-wwii life of otto skorzeny, a close hitler alli who escap to spain and becam an advis to world presidents. documentaries,internationalmovi",26
s18,Falsa identidad,"luisernestofranco,camilasodi,sergiogoyri,samadhizendejas,eduardoyáñez,sonyasmith,alejandrocamacho,azelarobinson,urieldeltoro,géraldinebazán,gabrielaroel,marcusornella stranger diego and isabel flee their home in mexico and pretend to be a marri coupl to escap hi drug-deal enemi and her abus husband. crimetvshows,spanish-languagetvshows,tvdrama",27
s19,Intrusion,"adamsalki freidapinto,loganmarshall-green,robertjohnburke,meganelisabethkelly,sarahminnich,hayeshargrove,marksivertsen,brandonfierro,antoniovalles,clintobenchain after a deadli home invas at a couple’ new dream house, the traumat wife search for answer — and learn the real danger is just beginning. thriller",29
s20,Jaguar,"blancasuárez,ivánmarcos,óscarcasas,adriánlastra,francescgarrido,stefanweinert,juliamöller,aliciachojnowski in the 1960s, a holocaust survivor join a group of self-train spi who seek justic against nazi flee to spain to hide after wwii. internationaltvshows,spanish-languagetvshows,tvaction&adventur",26
s21,Monsters Inside: The 24 Faces of Billy Milligan,"oliviermegaton in the late 1970s, an accus serial rapist claim multipl person control hi behavior, set off a legal odyssey that captiv america. crimetvshows,docuseries,internationaltvshow",24
s22,Resurrection: Ertugrul,"enginaltandüzyatan,serdargökhan,hülyadarcan,kaantaşaner,esrabilgiç,osmansoykut,serdardeniz,cengizcoşkun,reshadstrik,handesubaşı when a good deed unwittingli endang hi clan, a 13th-centuri turkish warrior agre to fight a sultan' enemi in exchang for new tribal land. internationaltvshows,tvaction&adventure,tvdrama",26
s23,Avvai Shanmughi,"k.s.ravikumar kamalhassan,meena,geminiganesan,heerarajgopal,nassar,s.p.balasubrahmanyam newli divorc and deni visit right with hi daughter, a dote father disguis himself as a gray-hair nanni in order to spend time with her. comedies,internationalmovi",28
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,"alexwoo,stanleymoor maisiebenson,paulkillam,kerrygudjohnsen,aclim from arcad game to sled day and hiccup cures, cori carson’ curiou littl sister chrissi speed off on her own for fun and adventur all over town! children&familymovi",30
s25,Jeans,"s.shankar prashanth,aishwaryaraibachchan,srilakshmi,nassar when the father of the man she love insist that hi twin son marri twin sisters, a woman creat an alter ego that might be a bit too convincing. comedies,internationalmovies,romanticmovi",32
s26,Love on the Spectrum,"brookesatchwel find love can be hard for anyone. for young adult on the autism spectrum, explor the unpredict world of date is even more complicated. docuseries,internationaltvshows,realitytv",26
s27,Minsara Kanavu,"rajivmenon arvindswamy,kajol,prabhudeva,nassar,s.p.balasubrahmanyam,girishkarnad a tangl love triangl ensu when a man fall for a woman studi to becom a nun — and she fall for the friend he enlist to help him pursu her. comedies,internationalmovies,music&mus",34
s28,Grown Ups,"dennisdugan adamsandler,kevinjames,chrisrock,davidspade,robschneider,salmahayek,mariabello,mayarudolph,colinquinn,timmeadows,joycevanpatten mourn the loss of their belov junior high basketbal coach, five middle-ag pal reunit at a lake hous and rediscov the joy of be a kid. comedi",29
s29,Dark Skies,"scottstewart kerirussell,joshhamilton,j.k.simmons,dakotagoyo,kadanrockett,l.j.benet,richhutchman,myndycrist,anniethurman,jakebrennan a family’ idyl suburban life shatter when an alien forc invad their home, and as they struggl to convinc other of the deadli threat. horrormovies,sci-fi&fantasi",27
s30,Paranoia,"robertluket liamhemsworth,garyoldman,amberheard,harrisonford,lucastill,embethdavidtz,julianmcmahon,joshholloway,richarddreyfuss,angelasarafyan blackmail by hi company' ceo, a low-level employe find himself forc to spi on the boss' rival and former mentor. thriller",23
s31,Ankahi Kahaniya,"ashwinyiyertiwari,abhishekchaubey,saketchaudhari abhishekbanerjee,rinkurajguru,delzadhiwale,kunalkapoor,zoyahussain,nikhildwivedi,palomighosh as big citi life buzz around them, lone soul discov surpris sourc of connect and companionship in three tale of love, loss and longing. dramas,independentmovies,internationalmovi",27
s32,Chicago Party Aunt,"laurenash,roryo'malley,rupaulcharles,jilltalley,ikebarinholtz,jonbarinholtz,matthewcraig,bobodenkirk,mikehagerty,katierich,chriswitask chicago parti aunt dian is an idol troublemak with a talent for avoid adulthood — and a soft spot for her soul-search nephew. tvcomedi",25
s33,Sex Education,"asabutterfield,gilliananderson,ncutigatwa,emmamackey,connorswindells,kedarwilliams-stirling,alistairpetri insecur oti ha all the answer when it come to sex advice, thank to hi therapist mom. so rebel maev propos a school sex-therapi clinic. britishtvshows,internationaltvshows,tvcomedi",27
s34,Squid Game,"leejung-jae,parkhae-soo,wiha-jun,ohyoung-soo,jungho-yeon,heosung-tae,kimjoo-ryoung,tripathianupam,youseong-joo,leeyou-mi hundr of cash-strap player accept a strang invit to compet in children' games. inside, a tempt prize await — with deadli high stakes. internationaltvshows,tvdramas,tvthril",25
s35,Tayo and Little Wizards,"damilee,jasonlee,bommiecatherinehan,jenniferwaescher,nancykim tayo speed into an adventur when hi friend get kidnap by evil magician invad their citi in search of a magic gemstone. kids'tv",24
s36,The Father Who Moves Mountains,"danielsandu adriantitieni,elenapurea,judithstate,valeriuandriuță,tudorsmoleanu,virgilaioanei,radubotar,petronelagrigorescu,bogdannechifor,cristianbota when hi son goe miss dure a snowi hike in the mountains, a retir intellig offic will stop at noth — and risk everyth — to find him. dramas,internationalmovies,thril",31
s37,The Stronghold,"cédricjimenez gilleslellouche,karimleklou,françoiscivil,adèleexarchopoulos,kenzafortas,cyrillecomte,michaëlabiteboul,idirazougli,vincentdarmuzey,jean-yvesberteloot tire of the small-tim grind, three marseil cop get a chanc to bust a major drug network. but line blur when a key inform make a big ask. action&adventure,dramas,internationalmovi",31
s38,Angry Birds,"anttipääkkönen,heljäheikkinen,lynneguaglione,pasiruohonen,raunoahonen bird red, chuck and their feather friend have lot of adventur while guard egg in their nest that peski pig keep tri to steal. kids'tv,tvcomedi",26
s39,Birth of the Dragon,"georgenolfi billymagnussen,ronyuan,qujingjing,terrychen,vannesswu,jinxing,philipng,xiayu,yuxia a young bruce lee anger kung fu traditionalist by teach outsiders, lead to a showdown with a shaolin master in thi film base on real events. action&adventure,drama",29
s40,Chhota Bheem,"vatsaldubey,julietejwani,rupabhimani,jignabhardwaj,rajeshkava,mousam,swapnil a brave, energet littl boy with superhuman power lead hi friend on excit adventur to guard their fellow dholakpur villag from evil. kids'tv",24
s41,He-Man and the Masters of the Universe,"yurilowenthal,kimberlybrooks,antonydelrio,trevordevall,bendiskin,greygriffin,davidkaye,tomkenny,judyalicelee,rogercraigsmith,fredtatascior mighti teen adam and hi heroic squad of misfit discov the legendari power of grayskul — and their destini to defend eternia from sinist skeletor. kids'tv,tvsci-fi&fantasi",27
s42,Jaws,"stevenspielberg royscheider,robertshaw,richarddreyfuss,lorrainegary,murrayhamilton,carlgottlieb,jeffreykramer,susanbacklinie,jonathanfilley,tedgrossman when an insati great white shark terror amiti island, a polic chief, an oceanograph and a grizzl shark hunter seek to destroy the beast. action&adventure,classicmovies,drama",27
s43,Jaws 2,"jeannotszwarc royscheider,lorrainegary,murrayhamilton,josephmascolo,jeffreykramer,collinwilcoxpaxton,anndusenberry,markgruner,barrycoe,susanfrench four year after the last deadli shark attacks, polic chief martin brodi fight to protect amiti island from anoth killer great white. dramas,horrormovies,thril",25
s44,Jaws 3,"joealv dennisquaid,bessarmstrong,simonmaccorkindale,louisgossettjr.,johnputch,leathompson,p.h.moriarty,danblasko,lizmorris,lisamaur after the staff of a marin theme park tri to captur a young great white shark, they discov it mother ha invad the enclosur and is out for blood. action&adventure,horrormovies,thril",32
s45,Jaws: The Revenge,"josephsarg lorrainegary,lanceguest,mariovanpeebles,karenyoung,michaelcaine,judithbarsi,mitchellanderson,lynnwhitfield after anoth deadli shark attack, ellen brodi ha had enough of amiti island and move to the caribbean – but a great white shark follow her there. action&adventure,horrormovies,thril",30
s46,My Heroes Were Cowboys,"tylergreco robin wiltshire' pain childhood wa rescu by westerns. now he live on the frontier of hi dreams, train the hors he love for the big screen. documentari",28
s47,Safe House,"danielespinosa denzelwashington,ryanreynolds,verafarmiga,brendangleeson,samshepard,rubénblades,noraarnezeder,robertpatrick,liamcunningham,joelkinnaman young cia oper matt weston must get a danger crimin out of an agenc safe hous that' come under attack and get him to a secur location. action&adventur",30
s48,The Smart Money Woman,"bunmiajakaiy osasighodaro,inidima-okojie,kemilalaakindoju,tonitones,ebenezereno,esookolochadike,patrickdiabuah,karibifubara,temisanemmanuel,timiniegbuson five glamor millenni strive for success as they juggl careers, finances, love and friendships. base on ares ugwu' 2016 best-sel novel. internationaltvshows,romantictvshows,tvcomedi",24
s49,Training Day,"antoinefuqua denzelwashington,ethanhawke,scottglenn,tomberenger,harrisyulin,raymondj.barry,cliffcurtis,dr.dre,snoopdogg,macygray,evamend a rooki cop with one day to prove himself to a veteran lapd narcot offic receiv a crash cours in hi mentor' question brand of justice. dramas,thril",29
s50,Castle and Castle,"richardmofe-damijo,dakoreakande,bimbomanuel,blossomchukwujekwu,deyemiokanlawon,etimeffiong,denolagrey,dukeakintola,ekuedewor,adelaoye,aneeicha,kevinushi,judechukwuka,amandaafolabi a pair of high-powered, success lawyer find themselv defend opposit interest of the justic system, caus a strain on their happi marriage. internationaltvshows,tvdrama",24
s51,Dharmakshetra,"kashmirairani,chandananand,dineshmehta,ankitarora,pushkargoggiaa,anjalirana,aaryadharmchandkumar,amitbehl,maleekaghai after the ancient great war, the god chitragupta overse a trial to determin who were the battle' true hero and villains. internationaltvshows,tvdramas,tvsci-fi&fantasi",23
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"toshiyashinohara kappeiyamaguchi,satsukiyukino,miekoharada,kojitsujitani,houkokuwashima,kumikowatanabe,norikohidaka,kenichiogata,toshiyukimorikawa,izumiogami with their biggest foe seemingli defeated, inuyasha and hi friend return to everyday life. but the peac is soon shatter by an emerg new enemy. action&adventure,animefeatures,internationalmovi",28
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,"toshiyashinohara kappeiyamaguchi,satsukiyukino,kojitsujitani,houkokuwashima,kumikowatanabe,kennarita,akiootsuka,kikukoinou the great dog demon beaqueath one of the three sword of the fang to each of hi two sons. now the evil power of the third sword ha been awakened. action&adventure,animefeatures,internationalmovi",33
s54,InuYasha the Movie 4: Fire on the Mystic Island,"toshiyashinohara kappeiyamaguchi,satsukiyukino,kojitsujitani,houkokuwashima,kumikowatanabe,norikohidaka,kennarita,cho,mamikonoto,nobutoshicanna ai, a young half-demon who ha escap from horai island to tri to help her people, return with potenti savior inuyasha, sesshomaru and kikyo. action&adventure,animefeatures,internationalmovi",27
s55,InuYasha the Movie: Affections Touching Across Time,"toshiyashinohara kappeiyamaguchi,satsukiyukino,kojitsujitani,houkokuwashima,kumikowatanabe,kenichiogata,norikohidaka,hisakokyoda,kennarita,tomokazuseki a power demon ha been seal away for 200 years. but when the demon' son is awakened, the fate of the world is in jeopardy. action&adventure,animefeatures,internationalmovi",28
s56,Nailed It,"nicolebyer,jacquestorr home baker with a terribl track record take a crack at re-creat edibl masterpiec for a $10,000 prize. it' part realiti contest, part hot mess. realitytv",27
s57,Naruto Shippuden the Movie: Blood Prison,"masahikomurata junkotakeuchi,chienakamura,rikiyakoyama,kazuhikoinoue,masakiterasoma,miesonozaki,yuichinakamura,kengokawanishi,koseihirota,masakokatsuki mistakenli accus of an attack on the fourth raikage, ninja naruto is imprison in the impenetr hozuki castl and hi power are sealed. action&adventure,animefeatures,internationalmovi",26
s58,Naruto Shippûden the Movie: Bonds,"hajimekamegaki junkotakeuchi,chienakamura,noriakisugiyama,unshoishizuka,motokokumai,kazuhikoinoue,rikiyakoyama,showtaromorikubo,nanamizuki,satoshihino,shinjikawada when strang ninja ambush the villag of konohagakure, it' up to adolesc ninja naruto and hi long-miss pal, sasuke, to save the planet. action&adventure,animefeatures,internationalmovi",26
s59,Naruto Shippûden the Movie: The Will of Fire,"masahikomurata junkotakeuchi,chienakamura,kazuhikoinoue,satoshihino,showtaromorikubo,kentaroito,ryokayuzuki,kohsuketoriumi,nanamizuki,shinjikawada,yoichimasukawa,koichitochika,yukaritamura when four out of five ninja villag are destroyed, the leader of the one spare tri to find the true culprit and protect hi land. action&adventure,animefeatures,internationalmovi",28
s60,Naruto Shippuden: The Movie,"hajimekamegaki junkotakeuchi,chienakamura,yoichimasukawa,koichitochika,ayumifujimura,keisukeoda,daisukekishio,fumikoorikasa,hidetoshinakamura,tetsuyakakihara,kishotaniyama,miyukisawashiro,katsuyukikonishi,masakokatsuki,keikonemoto,masashiebara,kazuhikoinoue,showtaromorikubo,romipark,daisukeono,seizokato the adventur of adolesc ninja naruto uzumaki continu as he' task with protect a priestess from a demon – but to do so, he must die. action&adventure,animefeatures,internationalmovi",29
s61,Naruto Shippuden: The Movie: The Lost Tower,"masahikomurata junkotakeuchi,chienakamura,satoshihino,rikiyakoyama,nobuakifukuda,kenjihamada,keikonemoto,saorihayami,yumitoma,yukokobayashi,fujikotakimoto,mutsumitamura,mayukimakiguchi,toshiyukimorikawa when naruto is sent to recov a miss nin, the rogu manag to send him 20 year into the past, where he unit with hi father to battl evil. action&adventure,animefeatures,internationalmovi",32
s62,Naruto the Movie 2: Legend of the Stone of Gelel,"hirotsugukawasaki junkotakeuchi,gamonkaai,chienakamura,showtaromorikubo,akiraishida,yasuyukikase,uraratakano,sachikokojima,houkokuwashima,takakohonda while on a mission to return a miss pet, naruto and two fellow ninja are ambush by brutal knight led by the enigmat temujin. action&adventure,animefeatures,internationalmovi",27
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"toshiyukitsuru junkotakeuchi,chienakamura,yoichimasukawa,kazuhikoinoue,akiootsuka,kyousukeikeda,marikahayashi,umejisasaki,masashisugawara,hisaoegawa exuber ninja naruto team up with hi pal sakura and kakashi to escort princ michiru and hi son, hikaru, to the crescent moon kingdom. action&adventure,animefeatures,internationalmovi",27
s64,Naruto the Movie: Ninja Clash in the Land of Snow,"tensaiokamura junkotakeuchi,noriakisugiyama,chienakamura,kazuhikoinoue,yuhkokaida,tsutomuisobe,hirotakasuzuoki,junkarasawa,hariikaneko,ikuonishikawa naruto, sasuk and sakura learn they'll be protect an actress from be hurt while make her next film, but it turn out she' a princess. action&adventure,animefeatures,internationalmovi",28
s65,Nightbooks,"davidyaroveski winslowfegley,lidyajewett,krystenritt scari stori fan alex must tell a spine-tingl tale everi night — or stay trap with hi new friend in a wick witch' magic apart forever. children&familymovi",29
s66,Numberblocks,"bethchalmers,davidholt,marcelmccalla,teresagallagh in a place call numberland, math add up to ton of fun when a group of cheer block work, play and sing together. kids'tv",25
s67,Raja Rasoi Aur Anya Kahaniyan,"explor the histori and flavor of region indian cuisine, from tradit kashmiri feast to the vegetarian dish of gujarat. docuseries,internationaltvshow",20
s68,Saved by the Bell,"mark-paulgosselaar,tiffanithiessen,mariolopez,larkvoorhies,elizabethberkley,dustindiamond,dennishaskin from middl school to college, best friend zack, kelly, slater, jessie, screech and lisa take on the high and low of life togeth in thi hit series. kids'tv,tvcomedi",29
s69,Schumacher,"hanns-brunokammertöns,vanessanöcker,michaelwech michaelschumach through exclus interview and archiv footage, thi documentari trace an intim portrait of seven-tim formula 1 champion michael schumacher. documentaries,internationalmovies,sportsmovi",22
s70,Stories by Rabindranath Tagore,"the write of nobel prize winner rabindranath tagor come to life in thi collect of tale set in early-20th-centuri bengal. internationaltvshows,tvdrama",21
s71,Too Hot To Handle: Latino,"itatícantor on thi realiti show, singl from latin america and spain are challeng to give up sex. but here, abstin come with a silver lining: us$100,000. internationaltvshows,realitytv,romantictvshow",27
s72,A StoryBots Space Adventure,"davida.varga evanspiridellis,erinfitzgerald,jeffgill,fredtatasciore,evanmichaellee,jaredisaacman,sianproctor,chrissembroski,hayleyarceneaux join the storybot and the space travel of the histor inspiration4 mission as they search for answer to kids' question about space. children&familymovi",25
s73,Jack Whitehall: Travels with My Father,"jackwhitehall,michaelwhitehal jovial comic jack whitehal invit hi stuffi father, michael, to travel with him through southeast asia in an attempt to strengthen their bond. britishtvshows,docuseries,internationaltvshow",25
s74,King of Boys,"kemiadetiba solasobowale,adesuaetomi,remilekun""reminisce""safaru,tobechukwu""illbliss""ejiofor,tonitones,paulsambo,jidekosoko,sharonooja when a power businesswoman’ polit ambit are threaten by her underworld connections, the ensu power struggl could cost her everything. dramas,internationalmovi",23
s75,The World's Most Amazing Vacation Rentals,"with an eye for everi budget, three travel visit vacat rental around the globe and share their expert tip and trick in thi realiti series. realitytv",26
s76,You vs. Wild: Out Cold,"bensimm beargrylls,jasonderekprempeh after a plane crash leav bear with amnesia, he must make choic to save the miss pilot and surviv in thi high-stak interact adventure. children&familymovi",27
s77,Yowamushi Pedal,"daikiyamashita,kohsuketoriumi,junfukushima,hirokiyasumoto,showtaromorikubo,kentaroito,daisukekishio,yoshitsugumatsuoka,junichisuwabe,ayakasuwa,megumihan,tomoakimaeno,tsubasayonaga,tetsuyakakihara,satoshihino,hiroyukiyoshino,atsushiabe,kojiyusa,koukimiyata,hiroshimono,wataruhatano,yuichinakamura,kenjinojima,mamorumiyano,daisukeono,yumauchida,junfukuyama a timid, anime-lov teen get drawn into a school cycl club, where hi new friend help him face tough challeng to develop hi race talent. animeseries,internationaltvshow",27
s78,Little Singham - Black Shadow,"prakashsatam sumriddhishukla,jignabharadwaj,sonalkaushal,neshmachemburkar,ganeshdivekar,annamayaverma,anamayverma,manojpandey kid cop littl singham lose all hi superpow while tri to stop the demon kaal’ new evil plans! can hi inner strength help him defeat the enemy? children&familymovies,comedi",30
s79,Tughlaq Durbar,"delhiprasaddeenadayalan vijaysethupathi,parthiban,raashikhanna a bud politician ha deviou plan to rise in the rank — until an unexpect new presenc begin to interfer with hi everi crook move. comedies,dramas,internationalmovi",28
s80,Tughlaq Durbar (Telugu),"delhiprasaddeenadayalan vijaysethupathi,parthiban,raashikhanna a bud politician ha deviou plan to rise in the rank — until an unexpect new presenc begin to interfer with hi everi crook move. comedies,dramas,internationalmovi",28
s81,Firedrake the Silver Dragon,"tomeresh thomasbrodie-sangster,felicityjones,freddiehighmore,patrickstewart,meerasyal,sanjeevbhaskar,nonsoanozi when hi home is threaten by humans, a young dragon summon the courag to seek a mythic paradis where dragon can live in peac and fli free. children&familymovi",30
s82,Kate,"cedricnicolas-troyan maryelizabethwinstead,junkunimura,woodyharrelson,tadanobuasano,miyavi,michielhuisman,mikumartineau slip a fatal poison on her final job, a ruthless assassin work in tokyo ha less than 24 hour to find out who order the hit and exact revenge. action&adventur",32
s83,Lucifer,"tomellis,laurengerman,kevinalejandro,d.b.woodside,lesley-annbrandt,scarlettestevez,rachaelharris,aimeegarcia,triciahelfer,tomwelling,jeremiahw.birkett,pejvahdat,michaelgladi bore with be the lord of hell, the devil reloc to lo angeles, where he open a nightclub and form a connect with a homicid detective. crimetvshows,tvcomedies,tvdrama",28
s84,Metal Shop Masters,"jokoy on thi competit show, a group of metal artist torch, cut and weld epic, badass creation from harden steel. onli one will win a $50,000 prize. realitytv",28
s85,Omo Ghetto: the Saga,"jjcskillz,funkeakindel funkeakindele,ayomakun,chiomachukwukaakpotha,yemieberechialade,blossomchukwujekwu,deyemiokanlawon,alexxekubo,zubbymichael,tinamba,femijacob twin are reunit as a good-heart femal gangster and her uptight rich sister take on family, crime, cop and all of the troubl that follow them. action&adventure,comedies,drama",29
s86,Pokémon Master Journeys: The Series,"ikueotani,sarahnatochenny,zenorobinson,cheramileigh,jamescartercathcart,micheleknotz,rodgerparsons,raychase,caseymongillo,tarasand as ash battl hi way through the world coron series, goh continu hi quest to catch everi pokémon. together, they'r on a journey to adventure! animeseries,kids'tv",27
s87,Prey,"thomassieben davidkross,hannokoffler,mariaehrich,robertfinster,yungngo,klaussteinbacher,liviamatthes,nelliethalbach a hike trip into the wild turn into a desper bid for surviv for five friend on the run from a mysteri shooter. internationalmovies,thril",26
s88,Titipo Titipo,"jeonhae-ri,kimeun-ah,hongbum-ki,namdo-hyeong,umsang-hyun titipo the train is out to prove that he' got what it take to help the folk of train villag ride the rail safe and reliably. kids'tv,koreantvshow",28
s89,Blood Brothers: Malcolm X & Muhammad Ali,"marcusclark malcolmx,muhammadali from a chanc meet to a tragic fallout, malcolm x and muhammad ali' extraordinari bond crack under the weight of distrust and shift ideals. documentaries,sportsmovi",27
s90,Mighty Raju,"julietejwani,sabinamalik,jignabhardwaj,rupabhimani,lalitagarwal,rajeshshukla,rajeshkava born with superhuman abilities, young raju want to use hi power to make the world a better place — but that will mean face plenti of challenges! kids'tv",29
s91,Paradise Hills,"alicewaddington emmaroberts,daniellemacdonald,awkwafina,eizagonzález,millajovovich,jeremyirvine,arnaudvalois,danielhorvath uma wake up in a lush tropic facil design to turn will girl into perfect ladies. that’ bad enough, but it real purpos is even worse. sci-fi&fantasy,thril",29
s92,The Women and the Murderer,"monaachache,patriciatourancheau thi documentari trace the captur of serial killer guy georg through the tireless work of two women: a polic chief and a victim' mother. documentaries,internationalmovi",26
s93,Into the Night,"paulineetienne,laurentcapelluto,stefanocassetti,mehmetkurtuluş,babetidasadjo,janbijvoet,ksaweryszlenkier,vincentlondez,reginabikkinina,albagaïakraghedebellugi,nabilmallat passeng and crew aboard a hijack overnight flight scrambl to outrac the sun as a mysteri cosmic event wreak havoc on the world below. internationaltvshows,tvdramas,tvmysteri",26
s94,JJ+E,"alexisalmström elsaöhrn,mustaphaaarab,jonaypinedaskallak,magnuskrepper,loreen,albingrenholm,simonmezher,elsabergströmterent,josefkadim,yohannesfrezgi elisabeth and john-john live in the same city, but they inhabit differ worlds. can a passion first love break through class and cultur barriers? dramas,internationalmovies,romanticmovi",27
s95,Show Dogs,"rajagosnel willarnett,ludacris,natashalyonne,stanleytucci,jordinsparks,gabrieliglesias,shaquilleo'neal,omarchaparro,alancumming,andybeckwith,deliasheppard,kerryshal a rough and tough polic dog must go undercov with an fbi agent as a prim and proper pet at a dog show to save a babi panda from an illeg sale. children&familymovies,comedi",35
s96,The Circle,"michellebuteau statu and strategi collid in thi social experi and competit show where onlin player flirt, befriend and catfish their way toward $100,000. realitytv",24
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"stephenkijak ronnievanzandt,garyrossington,allencollins,leonwilkeson,bobburns,billypowell,edking,artimuspyle,stevegaines,johnnyvanz use interview and archiv footage, thi documentari chart the stori of the legendari southern rocker with a focu on front man ronni van zant. documentaries,music&mus",27
s98,Kid Cosmic,"jackfisher,tomkenny,amandac.miller,kimyarbrough,keithferguson,greygriffin,lilyrosesilv a boy' superhero dream come true when he find five power cosmic stones. but save the day is harder than he imagin — and he can't do it alone. kids'tv,tvcomedies,tvsci-fi&fantasi",31
